07	04	2012	Seattle Mariners	2	Baltimore Orioles	4	T-Mobile Park	This game was the first I'd been to since 2010. Unfortunately I don't know the details of the games I've been to before 2012 so this is when the records start. Hector Noesi went into this game with a 2-10 record and a 5.69 ERA. That trend continued as he gave up 4 runs in 5 innings, which was enough for an opponent facing the 2012 Mariners. They managed to score 2 in the bottom of the 9th, but Miguel Olivo's flyout to right to end the game was just too short. Sat in the right field seats for the first time.	
08	15	2012	Seattle Mariners	1	Tampa Bay Rays	0	T-Mobile Park	This was a game we went to as a family, and would end up being our last. My sister has a peanut allergy, and this was one of the few games that included a peanut-free section, so that's where we sat. Little did we know we'd end up experiencing history that day.
The first out of the game was a running catch made by rightfielder Eric Thames, which proved to be incredibly important. After that Felix just mowed guys down like it was nothing. Once it was the 8th inning, the crowd was into it. Everyone was on every pitch. When Felix got the final out, he made that now iconic pose in his celebration.
This was the only truly dominant performance I ever saw from Felix in-person. I saw him again in the next game I went to, and one more time in 2017, but that was in his decline. While I have other games I enjoyed more, being at a perfect game was incredible.	
09	01	2012	Seattle Mariners	2	Los Angeles Angels	5	T-Mobile Park	This was a game my dad and I got tickets to specifically to sit in the King's Court, in what would be our only time doing so. While Felix had a good outing, in the 8th inning it fell apart and the Angels took the lead before Mariners manager Eric Wedge took him out. The Mariners only scored 2 runs in the 2nd inning and that was it. Overall a disappointing game, given you've got your ace on the mound and scoring 2 runs is usually enough.	
06	29	2013	Seattle Mariners	3	Chicago Cubs	5	T-Mobile Park	This was a Turn back the Clock Night to 1906. The Mariners wore uniforms from the 1906 Seattle Turks team, while the Cubs wore their 1906 uniforms. This was my first Interleague game, which was neat. While the Mariners tied the game in the bottom of the 9th inning, that was all they could muster as the Cubs came out on top from a go-ahead home run in the 11th inning by Alfonso Soriano, who would eventually be traded to the Yankees at the deadline. My dad and I sat in the upper deck from behind home plate for the first time, which is a spot I've repeatedly gone back to when I don't want to spend a lot on tickets but want a good view.	
08	10	2013	Seattle Mariners	0	Milwaukee Brewers	10	T-Mobile Park	This game was supposed to be exciting, since they had a pregame ceremony celebrating Ken Griffey Jr.'s induction into the Mariners Hall of Fame. Unfortunately, they just failed to show up in any capacity. Hisashi Iwakuma had a great outing, up until the 7th where he just lost it, and Mariners manager Eric Wedge left him in for probably too long. This is tied for the most lopsided loss I've seen in person, with a game I saw in 2018 against the Dodgers.	
04	08	2014	Seattle Mariners	5	Los Angeles Angels	3	T-Mobile Park	This was the first home opener I was able to attend. We left right after school ended, and we ended up being late and missed the pre-game ceremonies! The Mariners hit a little bit, including Corey Hart, who hit 2 home runs. This would not be indicative of his success, however, as he only ended up with 6 home runs in the 68 games he played that year. It was actually a decent idea to sign him, it just didn't work out at all. 
James Paxton pitched a good game, though left in the 6th inning with an injury. Little did we know this would be the start of his yearly injury problems that he has never overcome to this day. Overall a fun game, and the beginning of my currently unbroken (only by 2020) streak of home openers.	
05	14	2014	Seattle Mariners	0	Tampa Bay Rays	2	T-Mobile Park	This was the only game I attended with my school, at least that I can remember. Unfortunately, the game was pretty lackluster. However, my PE teacher's son worked for the Mariners, and was able to get the Mariner Moose over to our section, and got us some jumbotron airtime! So that was neat. I also think it was this game where I bought a souvenir soda cup, one that I used at home until 2021!	
08	29	2014	Seattle Mariners	3	Washington Nationals	8	T-Mobile Park	This game was a good pitching matchup, Felix Hernandez vs Jordan Zimmermann. Unfortunately, the Mariners ended up on the wrong side of this one, with Felix giving up 5 runs in 7 innings, while Zimmermann went 6 innings and only gave up 2 runs. We also had a postgame fireworks show afterward, the first I had been to.	
09	21	2014	Chicago Cubs	5	Los Angeles Dodgers	8	Wrigley Field	This was the first game I got to attend that wasn't in Seattle!! I was very excited for this one, given the fact that the park was celebrating its 100th anniversary. While the tarp came out a little before the start of the game, it ended up starting on time. 
This was an interesting experience because it was the last year of Wrigley not having any jumbotrons whatsoever, so there was no way to show instant replay to the crowd at all. I don't remember the game being super interesting from a neutral fan perspective; it was mostly about seeing Wrigley Field for the first time. The park had interesting scoreboards under the upper deck, so you could see them if you were sitting in the far back rows of the main level. Also, unlike every other park I've visited to date, you couldn't walk all the way around the stadium without temporarily leaving the stadium. The main concourse, which involved all seating in foul territory, was separated from the outfield bleachers. 
Since those outfield bleachers have since been replaced, the jumbotrons have been installed, and the park has been further renovated, I'd very much like to return, especially now that I've seen many other parks.	
09	26	2014	Chicago White Sox	3	Kansas City Royals	6	Guaranteed Rate Field	This was park number 3, and definitely the "other" park of the trip, with Wrigley really being the main event. This park reminded me of Safeco Field (now T-Mobile Park) in that the upper deck had a very similar feel. The concourse was also kinda similar if I remember correctly.
Similar to Wrigley, this park had some slightly outdated elements including a couple large dot-matrix scoreboards. Safeco Field had a smaller one up through 2012, but each one the White Sox had was bigger on its own than the one the Mariners had. The video scoreboard was also much smaller than the one in Seattle, and pretty low-res. Like Wrigley, it gave a retro vibe to the experience, but from a different era; Wrigley was more like the 1950s or 60s, with U.S. Cellular more like 80s and 90s with the dot-matrix scoreboards; I liked it. I took a walk around the main concourse, which was neat. It was later in the game, so it was dark and cool, one of my favorite parts of baseball games; when it has cooled down and the lights are taking full effect. I also liked the pseudo wall that surrounds the concourse. The White Sox launch fireworks after each home run, which I thought was neat. The Mariners had not started doing that at this point.
The Royals were in the wild card hunt at this point, and ended up securing their spot I think the next night. The White Sox were stuck in their phase of mediocrity, which they wouldn't really leave until late 2016 and 2017 when the rebuild was a full go. While U.S. Cellular/Guaranteed Rate Field is not rated very highly, I enjoyed my time there and would like to revisit, which shouldn't be too hard since I'm already planning on revisiting Wrigley.	
04	06	2015	Seattle Mariners	4	Los Angeles Angels	1	T-Mobile Park	This game was the first Opening Day I went to, though my second home opener. Going into this year, the Mariners were projected to wint he division by multiple sports outlets, though they didn't even come close to that, finishing in 4th place. In fact, this was the only day they finished with a record over .500, at 1-0. So, yeah; you can see how that worked out. New acquisition Seth Smith went 3-for-3 before being removed for a pinch-hitter, and was tied for the league lead in average with 1.000. The Mariners gave out these neat K towels, and I still have mine in a closet somewhere. A pretty fun game, given the expecations of the team.	
07	11	2015	Seattle Mariners	5	Los Angeles Angels	0	T-Mobile Park	The Angels loaded the bases in the first with two outs, and Nelson Cruz made a diving catch to end the inning. Sat in the upper deck behind home plate.	
07	27	2015	Seattle Mariners	3	Arizona Diamondbacks	4	T-Mobile Park	First game I went to with just friends; Ben, Tyler F, and Tyler H. Not much to note here. Sat somewhere on the 100 level on the 1st base/right field side.	
09	13	2015	Seattle Mariners	2	Colorado Rockies	3	T-Mobile Park	Sat in suite for first time! Also first time seeing Sunday alts in person. Suite was on the third base side.	
04	08	2016	Seattle Mariners	2	Oakland Athletics	3	T-Mobile Park	Third home opener. Mariners offense didn't do much. Dae-Ho Lee got first MLB hit and home run, so that was cool. Sat somewhere behind home plate, although memories of this game are rather fuzzy.	
05	01	2016	Seattle Mariners	1	Kansas City Royals	4	T-Mobile Park	Not a great game. Mariners were going for the sweep, but their offense didn't do too well. Sat somewhere behind home plate.	
